"database_name","schema_name","object_id","type_desc","object_name","row_counts","total_space_kb","used_space_kb","unused_space_kb","column_name","max_length","column_type","precision"
AdventureWorks2017,HUMANRESOURCES,2099048,USER_TABLE,EMPLOYEEPAYHISTORY,316,200,32,168,businessentityid,4,int,10
AdventureWorks2017,HUMANRESOURCES,2099048,USER_TABLE,EMPLOYEEPAYHISTORY,316,200,32,168,ratechangedate,8,datetime,23
AdventureWorks2017,HUMANRESOURCES,2099048,USER_TABLE,EMPLOYEEPAYHISTORY,316,200,32,168,rate,8,money,19
AdventureWorks2017,HUMANRESOURCES,2099048,USER_TABLE,EMPLOYEEPAYHISTORY,316,200,32,168,payfrequency,1,tinyint,3
AdventureWorks2017,HUMANRESOURCES,2099048,USER_TABLE,EMPLOYEEPAYHISTORY,316,200,32,168,modifieddate,8,datetime,23
AdventureWorks2017,SALES,30623152,USER_TABLE,SALESORDERHEADERSALESREASON,27647,776,704,72,salesorderid,4,int,10
AdventureWorks2017,SALES,30623152,USER_TABLE,SALESORDERHEADERSALESREASON,27647,776,704,72,salesreasonid,4,int,10
AdventureWorks2017,SALES,30623152,USER_TABLE,SALESORDERHEADERSALESREASON,27647,776,704,72,modifieddate,8,datetime,23
AdventureWorks2017,SALES,62623266,USER_TABLE,SALESPERSON,17,144,32,112,businessentityid,4,int,10
AdventureWorks2017,SALES,62623266,USER_TABLE,SALESPERSON,17,144,32,112,territoryid,4,int,10
AdventureWorks2017,SALES,62623266,USER_TABLE,SALESPERSON,17,144,32,112,salesquota,8,money,19
AdventureWorks2017,SALES,62623266,USER_TABLE,SALESPERSON,17,144,32,112,bonus,8,money,19
AdventureWorks2017,SALES,62623266,USER_TABLE,SALESPERSON,17,144,32,112,commissionpct,4,smallmoney,10
AdventureWorks2017,SALES,62623266,USER_TABLE,SALESPERSON,17,144,32,112,salesytd,8,money,19
AdventureWorks2017,SALES,62623266,USER_TABLE,SALESPERSON,17,144,32,112,saleslastyear,8,money,19
AdventureWorks2017,SALES,62623266,USER_TABLE,SALESPERSON,17,144,32,112,rowguid,16,uniqueidentifier,0
AdventureWorks2017,SALES,62623266,USER_TABLE,SALESPERSON,17,144,32,112,modifieddate,8,datetime,23
AdventureWorks2017,PRODUCTION,66099276,USER_TABLE,ILLUSTRATION,5,400,248,152,illustrationid,4,int,10
AdventureWorks2017,PRODUCTION,66099276,USER_TABLE,ILLUSTRATION,5,400,248,152,diagram,-1,xml,0
AdventureWorks2017,PRODUCTION,66099276,USER_TABLE,ILLUSTRATION,5,400,248,152,modifieddate,8,datetime,23
AdventureWorks2017,HUMANRESOURCES,98099390,USER_TABLE,JOBCANDIDATE,13,472,160,312,jobcandidateid,4,int,10
AdventureWorks2017,HUMANRESOURCES,98099390,USER_TABLE,JOBCANDIDATE,13,472,160,312,businessentityid,4,int,10
AdventureWorks2017,HUMANRESOURCES,98099390,USER_TABLE,JOBCANDIDATE,13,472,160,312,resume,-1,xml,0
AdventureWorks2017,HUMANRESOURCES,98099390,USER_TABLE,JOBCANDIDATE,13,472,160,312,modifieddate,8,datetime,23
AdventureWorks2017,PRODUCTION,130099504,USER_TABLE,LOCATION,14,144,32,112,locationid,2,smallint,5
AdventureWorks2017,PRODUCTION,130099504,USER_TABLE,LOCATION,14,144,32,112,name,100,nvarchar,0
AdventureWorks2017,PRODUCTION,130099504,USER_TABLE,LOCATION,14,144,32,112,costrate,4,smallmoney,10
AdventureWorks2017,PRODUCTION,130099504,USER_TABLE,LOCATION,14,144,32,112,availability,5,decimal,38
